WLD_gdp_per_capita_constant_us$,WLD_gdp_per_capita_constant_%_growth,ARG_gdp_per_capita_constant_us$,ARG_gdp_per_capita_constant_%_growth,AUS_gdp_per_capita_constant_us$,AUS_gdp_per_capita_constant_%_growth,BRA_gdp_per_capita_constant_us$,CAN_gdp_per_capita_constant_us$,CAN_gdp_per_capita_constant_%_growth,CHN_gdp_per_capita_constant_%_growth,FRA_gdp_per_capita_constant_us$,FRA_gdp_per_capita_constant_%_growth,DEU_gdp_per_capita_constant_us$,DEU_gdp_per_capita_constant_%_growth,IND_gdp_per_capita_constant_us$,IND_gdp_per_capita_constant_%_growth,IDN_gdp_per_capita_constant_us$,IDN_gdp_per_capita_constant_%_growth,ITA_gdp_per_capita_constant_us$,ITA_gdp_per_capita_constant_%_growth,JPN_gdp_per_capita_constant_us$,JPN_gdp_per_capita_constant_%_growth,MEX_gdp_per_capita_constant_us$,MEX_gdp_per_capita_constant_%_growth,RUS_gdp_per_capita_constant_us$,RUS_gdp_per_capita_constant_%_growth,SAU_gdp_per_capita_constant_us$,ZAF_gdp_per_capita_constant_us$,ZAF_gdp_per_capita_constant_%_growth,KOR_gdp_per_capita_constant_us$,KOR_gdp_per_capita_constant_%_growth,TUR_gdp_per_capita_constant_us$,TUR_gdp_per_capita_constant_%_growth,GBR_gdp_per_capita_constant_us$,GBR_gdp_per_capita_constant_%_growth,USA_gdp_per_capita_constant_us$,USA_gdp_per_capita_constant_%_growth,CHN_gdp_per_capita_constant_us$,SAU_gdp_per_capita_%_growth,time
7385.24861071712,2.44260807426271,11146.7210336555,6.86473336181048,41309.8259685443,2.75232027591224,6742.71174107548,31222.724816522,2.0347828430038413,8.12449757701776,30653.3528508069,1.97492975038789,32313.2970704344,1.6433342731292,666.420153969005,2.12301449028875,2119.91810098272,3.18987137814375,21829.3458226222,1.77635122351289,31276.1930771932,0.740905952598837,8168.91618207968,5.19355799808589,4760.33544921875,1.56770414975504,18009.3078467365,4809.21819376776,0.818418244192401,15071.7563891218,5.17962976582618,6470.78339443597,5.88612191639852,35969.2149523957,4.63917670980547,44267.9058817489,3.1972120547039,1787.7638191814,-0.840942429621251,YR1997
7487.41745850802,1.38341785329521,11445.5649384682,2.68100281607806,42767.7939690644,3.52934917138184,6662.85343857573,31830.6171059926,1.94695463974652,6.8160645646963,31636.5672206853,3.20752635009862,32959.0735691418,1.99848532107309,694.735303105898,4.2488434613293,1815.69806642163,-14.3505560153507,22318.1373007109,1.78132437367471,30795.0888900928,-1.53824407565509,8461.49270188363,3.58158308008818,4515.505859375,-5.14311536211871,18178.0426139891,4756.38715885073,-1.09853686791526,14195.8130931157,-5.8118196273288,6522.94173019496,0.806059059307017,36995.7094347959,2.85381397330664,45715.6926453849,3.27051107297336,1909.61895536109,0.936930884232538,YR1998
7647.84131268502,2.14257926803202,10935.6445948055,-4.4551784591153,44369.2728270564,3.74459075244904,6595.61609911524,32826.5308068591,3.12879168364921,6.73348565843446,32551.0830706316,2.89069241794468,33559.3993737499,1.82142803058096,742.658951808149,6.89811623045533,1804.70516179874,-0.605436819380117,22005.0545405773,1.60863473141113,30636.266116943,-0.515740590055131,8567.07842500423,1.24783802150048,4819.37646484375,6.72950292335021,17137.7141060223,4798.44750520995,0.884291899597599,15711.5640210645,10.6774505835378,6213.06375522918,-4.75058628120718,37975.0998606586,2.64730813606604,47360.5364177179,3.59798501816873,2038.20287385107,-5.72299520943008,YR1999
7886.67743197314,3.12292200535036,10730.6082172968,-1.87493636731784,45558.753131278,2.68086499604787,6787.66899225011,34121.6091941822,3.94521856404198,7.63859767603294,33597.3662427446,3.21428067337351,34490.0757688619,2.77322125091402,757.668747182558,2.02108859495532,1867.54879635774,3.4822106064327,20137.5912217673,3.73994653301939,31430.6311303282,2.59289108650813,8861.86956567291,3.4409763287365,5323.66259765625,10.4637091559227,17690.6612981767,4930.02546578478,2.74209440515851,16992.4790763689,8.15268965958531,6543.7314468452,5.32213581967065,39229.2684645729,3.30260778382726,48746.0409600767,2.92544098347776,2193.8929912059,3.22649326936822,YR2000
7941.11778954735,0.690282543489218,10146.1068184859,-5.44704817261687,45864.7680331103,0.671692881827951,6788.57656201416,34227.341749713,0.309869780551935,7.55165483155264,34015.3809173194,1.24418881990496,35011.068457503,1.5105582606794,780.606234028334,3.02737666441584,1909.29186789858,2.23517969770081,20500.9543995672,1.89412399481279,31476.052066579,0.144511690084897,8702.9848728584,-1.79290263343491,5618.95068359375,5.54671833932643,17032.35698426,4996.07852562648,1.33981173728463,17680.845491777,4.05100640297607,6075.99562671406,-7.14784559743271,39888.499257412,1.68045650260957,48726.5816727299,-0.0399197287893003,2359.56821727539,-3.72119675359191,YR2001
8023.63920834863,1.03916628600946,8943.30800223846,-11.8547817184023,47127.2781005515,2.75267950015518,6904.6253073595,35015.7949689871,2.30357713736453,8.40487997514565,34152.3658925504,0.402714805881303,34883.0580735445,-0.365628327264105,796.724785582021,2.06487609899125,1968.30112833041,3.09063592759024,22376.2978989329,0.104759513559856,31416.1241772435,-0.190392013612978,8580.88729814666,-1.40293906625668,5910.1669921875,5.18275023824988,16094.7002735836,5115.88100187292,2.39793020930182,18936.9516520974,7.10433310954843,6373.13190722821,4.89033071728603,40563.337319998,1.69181111134587,49095.3317986996,0.756774050858581,2557.88709386907,-5.50514947251813,YR2002
8173.34362963716,1.86579203527448,9629.84408600561,7.67653404752819,47997.1371388983,1.8457654959213,6896.13719435172,36024.0992359873,2.8795698281111,9.35477664390774,34190.3029345668,0.111081739214896,34619.6640670185,-0.755077166602604,845.274844474197,6.09370510002513,2034.76146206165,3.37653282694683,27526.3224609957,-0.305508789463317,31830.2175849262,1.31809196241525,8587.08855266964,0.0722682201445934,6370.44873046875,7.78796752390349,17384.7941267409,5202.68768866559,1.69680816971494,19431.9711103534,2.6140398272664,6644.14590345974,4.25244605284489,41598.211744861,2.55125562450405,50036.2342349321,1.91648045091225,2797.17171830387,8.01564385311802,YR2003
8434.81974736065,3.19913280992319,10389.1512740641,7.88493750549884,49439.1222880846,3.00431491364444,7206.26179832942,37086.4492996776,2.94899827121588,9.4615587704991,34899.8763766384,2.07536459512968,35034.0806086181,1.1970553521185,897.628232696276,6.19365269939453,2108.64179486102,3.63090879087639,31317.2007943296,0.769317663351927,32515.1158024317,2.15172332918605,8801.32190186818,2.49483102316368,6856.67236328125,7.63249118230908,18219.8572461831,5373.80695103202,3.28905505397188,20361.0692543545,4.78128615324052,7194.68202623479,8.28603300972621,42336.5541810782,1.77493792460548,51485.2074124697,2.89584777850045,3061.82776434297,4.80341103469091,YR2004
8667.76916728566,2.76175931320772,11192.1795786128,7.72948899640498,50332.8748422221,1.80778402361102,7352.28258589388,38573.1997654019,4.00887788882287,10.7413751264029,35213.893088874,0.899764540271406,35310.4704669272,0.788917115869921,953.567972961256,6.23194973457434,2199.09391371933,4.28959148389987,32055.0920757503,0.323656244406962,33098.5474664872,1.79433980060388,8877.85129102564,0.869521533364463,7323.37939453125,6.80660765259209,18683.3771120497,5587.79335186404,3.98202620194472,21193.3575135298,4.08764514661904,7738.57821530378,7.55969738600983,43137.2551546647,1.89127572868068,52789.7314187756,2.53378411366741,3390.7101702354,2.54403675947441,YR2005
8944.51468113937,3.19281130487659,11970.6553871118,6.95553357619964,50948.2249676411,1.22256105447553,7560.70204026723,39776.1794731157,3.11869306935945,12.0933046939024,35825.7485784696,1.73754003299598,36699.446781036,3.9336103307084,1014.62764066233,6.40328423693353,2289.4220118994,4.10751435473269,33529.7266014361,1.48515735957702,33531.5185630775,1.30812718300903,9142.80477389632,2.98443254099685,7949.89013671875,8.55494147469737,18669.6135725792,5826.8261993961,4.27776820795123,22192.1851207944,4.71292765493601,8173.53625104099,5.62064533866236,43927.8860195651,1.83282608516863,53738.0917251561,1.79648632582968,3800.75908240911,-0.0736673000176751,YR2006
